sequence,count,Browser,Location
sequence1,1,Safari,usa
sequence2,1,Safari,usa
sequence3,1,Trident,usa
sequence4,1,Safari,usa
sequence5,1,Firefox,usa
sequence6,1,Firefox,usa
sequence7,1,Firefox,usa
sequence8,1,Safari,usa
sequence9,1,Safari,usa
sequence10,1,Safari,usa
sequence11,1,Firefox,usa
sequence12,1,Firefox,usa
sequence13,1,Safari,usa
sequence14,1,Trident,usa
sequence15,1,Safari,usa
sequence16,1,Safari,usa
sequence17,1,Trident,usa
sequence18,1,Trident,usa
sequence19,1,Safari,usa
sequence20,1,Safari,usa
sequence21,1,Firefox,usa
sequence22,1,Firefox,usa
sequence23,1,Safari,usa
sequence24,1,Safari,usa
sequence25,1,Safari,usa
sequence26,1,Safari,usa
sequence27,1,Safari,usa
sequence28,1,Safari,usa
sequence29,1,Safari,usa
sequence30,1,Safari,usa
sequence31,1,Firefox,usa
sequence32,1,Trident,usa
sequence33,1,Safari,usa
sequence34,1,Trident,usa
sequence35,1,Safari,usa
sequence36,1,Safari,usa
sequence37,1,Firefox,usa
sequence38,1,Trident,zaf
sequence39,1,Firefox,usa
sequence40,1,Safari,usa
sequence41,1,Firefox,usa
sequence42,1,Safari,usa
sequence43,1,Trident,usa
sequence44,1,Safari,pri
sequence45,1,Firefox,usa
sequence46,1,Trident,usa
sequence47,1,Firefox,usa
sequence48,1,Firefox,usa
sequence49,1,Safari,usa
sequence50,1,Safari,usa
sequence51,1,Safari,usa
sequence52,1,Trident,usa
sequence53,1,Firefox,usa
sequence54,1,Firefox,usa
sequence55,1,Trident,usa
sequence56,1,Safari,usa
sequence57,1,Safari,usa
sequence58,1,Safari,usa
sequence59,1,Firefox,usa
sequence60,1,Firefox,usa
sequence61,1,Safari,usa
sequence62,1,Trident,usa
sequence63,1,Firefox,usa
sequence64,1,Trident,usa
sequence65,1,Firefox,usa
sequence66,1,Safari,usa
sequence67,1,Safari,usa
sequence68,1,Trident,usa
sequence69,1,Safari,usa
sequence70,1,Firefox,usa
sequence71,1,Firefox,usa
sequence72,1,Trident,usa
sequence73,1,Safari,usa
sequence74,1,Firefox,usa
sequence75,1,Safari,usa
sequence76,1,Safari,usa
sequence77,1,Firefox,usa
sequence78,1,Trident,usa
sequence79,1,Trident,usa
sequence80,1,Safari,usa
sequence81,1,Trident,usa
sequence82,1,Safari,usa
sequence83,1,Trident,usa
sequence84,1,Safari,usa
sequence85,1,Firefox,usa
